UNIQUE INTERNAL CODE	PRODUCT NAME	PRODUCT DESCRIPTION	PRODUCT PRICE	PRODUCT URL	IMAGE URL	CATEGORY	SHIPPING COST	GENDER	COLOR	GOOGLE TAX	MANUFACTURER	Google Age Group	MPN(Manufacturer Part Number)
9736	Emerald Charms Pendants  in Sterling Silver	Emerald pendants A traditional fish motif pendant is delicately crafted in glistening sterling silver and set with dazzling emeralds. 1.5 inch long.   	44	http://www.semiprecious.com/detail.cfm?itemnumber=9736	http://www.semiprecious.com/images/pendants/9736.jpg	Clothing & Accessories > Jewelry > pendants	3.99	f	green	US:TX:8.25:y	Semiprecious.com	Adult	9736
9786	Howlite Chunky Necklaces	howlite necklaces Pleasantly irregular howlite tumbles and combine with round black onyx and silver beads to create a lovely and refreshing necklace. 17 to Comes with 1.5 inch long extension chain. Tumbles: 14 mm to 24 mm long, Onyx bead: 6 mm   	51	http://www.semiprecious.com/detail.cfm?itemnumber=9786	http://www.semiprecious.com/images/necklaces/9786.jpg	Clothing & Accessories > Jewelry > necklaces	3.99	f	white,multi-color	US:TX:8.25:y	Semiprecious.com	Adult	9786
10381	Sapphire Bracelets  in Sterling Silver	Sapphire bracelets This beautiful bracelet is crafted from classic faceted sapphires strung together in a sterling silver setting. These Indian sapphires are mildly color treated for extra brightness.  Stone size 12mm x 12mm   	158	http://www.semiprecious.com/detail.cfm?itemnumber=10381	http://www.semiprecious.com/images/bracelets/10381.jpg	Clothing & Accessories > Jewelry > bracelets	3.99	f	blue	US:TX:8.25:y	Semiprecious.com	Adult	10381
10462	Emerald Brides-Maids Rings  in Sterling Silver	Emerald rings In this heart-shaped ring a raw Brazilian emerald gem stone is beautifully set in sterling silver. Stone size - 6mm x 4mm   	40	http://www.semiprecious.com/detail.cfm?itemnumber=10462	http://www.semiprecious.com/images/rings/10462.jpg	Clothing & Accessories > Jewelry > rings	3.99	f	green	US:TX:8.25:y	Semiprecious.com	Adult	10462
10535	Chalcedony Ethnic Bracelets  in Sterling Silver	Chalcedony bracelets This gorgeous bracelet features twelve chalcedony gemstones in a sterling silver setting and closes with a toggle clasp.-Stone size is approximately 16mm to 26mm.	76	http://www.semiprecious.com/detail.cfm?itemnumber=10535	http://www.semiprecious.com/images/bracelets/10535.jpg	Clothing & Accessories > Jewelry > bracelets	3.99	f	blue,white	US:TX:8.25:y	Semiprecious.com	Adult	10535
16811	Tanzanite Pendants  in Sterling Silver	tanzanite Pendants Genuine Tanzanite and White Topaz heart set in Sterling Silver. Pendant comes with chain shown.   	97	http://www.semiprecious.com/detail.cfm?itemnumber=16811	http://www.semiprecious.com/images/Pendants/16811.jpg	Clothing & Accessories > Jewelry > Pendants	3.99	f	white	US:TX:8.25:y	Semiprecious.com	Adult	16811
10976	Smoky Quartz Brides-Maids Rings	Smoky Quartz rings This gorgeous ring has very high quality, round, concave cut smokey topaz gemstone set in the setting of 1 micron 18 carat gold plated silver. The gleaming stone holds the eyes of the onlooker. Stone size is 15mm.   	55	http://www.semiprecious.com/detail.cfm?itemnumber=10976	http://www.semiprecious.com/images/rings/10976.jpg	Clothing & Accessories > Jewelry > rings	3.99	f	brown	US:TX:8.25:y	Semiprecious.com	Adult	10976
10989	Pink Opal Bracelets	Pink Opal bracelets pink opal bracelet: tear-shaped stones set in silver with lobster clasp, approx. 7-inch length. eye shaped stone size 3 mm x 6mm and drop shaped stone size 4 mm x 6mm.   	56	http://www.semiprecious.com/detail.cfm?itemnumber=10989	http://www.semiprecious.com/images/bracelets/10989.jpg	Clothing & Accessories > Jewelry > bracelets	3.99	f	pink	US:TX:8.25:y	Semiprecious.com	Adult	10989
11219	Jade Buddha Healing	Jade healing This beautiful Buddha statue is carved in red jade gemstone. This statue is 3 inch tall  The ancient Chinese culture has revered Jade for centuries. Jade is considered the health, wealth and longevity stone. used also for courage, wisdom, justice, mercy, emotional balance, stamina, love, fidelity, humility, generosity, peace, harmony. Jade is known	74	http://www.semiprecious.com/detail.cfm?itemnumber=11219	http://www.semiprecious.com/images/healing/11219.jpg	Clothing & Accessories > Jewelry > healing	3.99	f	red	US:TX:8.25:y	Semiprecious.com	Adult	11219
11370	Amethyst Earrings  in Sterling Silver	Amethyst earrings These gorgeous sterling silver earrings are highlighted by a stylishly designed and sparkling silver frame. To add a touch of royal charm, a precious purple amethyst gemstone is faceted and mounted at the base of the silver earwire earring design. Each earring is 1.25 inch long (not including earwire). Stone size is 7mm x 4mm.   	37	http://www.semiprecious.com/detail.cfm?itemnumber=11370	http://www.semiprecious.com/images/earrings/11370.jpg	Clothing & Accessories > Jewelry > earrings	3.99	f	purple,white	US:TX:8.25:y	Semiprecious.com	Adult	11370
