Item-name	Item-Description	category1	min-bid	sku	image-url	Shipping-fee	quantity	first-bidder-discount	take-it-price
"Multi-stone necklace, attractive ethnic design, 17"""	"Multi-stone necklace, attractive ethnic design, 17""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$15.00 	166	http://www.semiprecious.com/images/necklaces/166.jpg	$1.00 	20	y	$22.50 
"Pearl and amethyst necklace, 24"""	"Pearl and amethyst necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$18.00 	154	http://www.semiprecious.com/images/necklaces/154.jpg	$1.00 	5	y	$27.00 
"Pearl and amethyst, 3 strand necklace, 24"" "	"Pearl and amethyst, 3 strand necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$28.00 	132	http://www.semiprecious.com/images/necklaces/132.jpg	$1.00 	5	y	$42.00 
"Pearl and periodot, double strand necklace, 17"""	"Pearl and periodot, double strand necklace, 17""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$20.00 	165	http://www.semiprecious.com/images/necklaces/165.jpg	$1.00 	5	y	$30.00 
"Red tiger eye necklace with golden rings,  24"""	"Red tiger eye necklace with golden rings,  24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$16.00 	131	http://www.semiprecious.com/images/necklaces/131.jpg	$1.00 	6	y	$24.00 
"Smokey citrine (topaz) necklace, 24"""	"Smokey citrine (topaz) necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$15.00 	58	http://www.semiprecious.com/images/necklaces/smokqtz.jpg	$1.00 	2	y	$22.50 
"Sodalite and bone necklace, 17"""	"Sodalite and bone necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$15.00 	119	http://www.semiprecious.com/images/necklaces/sodalbon.jpg	$1.00 	2	y	$22.50 
"Tiger eye necklace with ethnic metal pieces, 24"""	"Tiger eye necklace with ethnic metal pieces, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$16.00 	156	http://www.semiprecious.com/images/necklaces/156.jpg	$1.00 	10	y	$24.00 
"Tiger eye necklace with golden rings, 17"""	"Tiger eye necklace with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$10.00 	19	http://www.semiprecious.com/images/necklaces/tig23old.jpg	$1.00 	5	y	$15.00 
"Tiger eye necklace with golden rings, 17"" (matching earrings included)"	"Tiger eye necklace with golden rings, 17"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$12.00 	19.1	http://www.semiprecious.com/images/necklaces/tig23.jpg	$1.00 	5	y	$18.00 
"Tiger eye necklace with golden rings, octagonal cut, 24"""	"Tiger eye necklace with golden rings, octagonal cut, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$16.00 	160	http://www.semiprecious.com/images/necklaces/160.jpg	$1.00 	10	y	$24.00 
"Tiger eye necklace, 3 strand, 17"""	"Tiger eye necklace, 3 strand, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$25.00 	135	http://www.semiprecious.com/images/necklaces/135.jpg	$1.00 	4	y	$37.50 
"Tiger eye necklace, 6mm beads, 24"""	"Tiger eye necklace, 6mm beads, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$14.00 	145	http://www.semiprecious.com/images/necklaces/145.jpg	$1.00 	10	y	$21.00 
"Tiger eye necklace, carved flower design, 24"""	"Tiger eye necklace, carved flower design, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$18.00 	162	http://www.semiprecious.com/images/necklaces/162.jpg	$1.00 	10	y	$27.00 
"Tiger eye necklace, flat stones, 16"""	"Tiger eye necklace, flat stones, 16""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$8.00 	30	http://www.semiprecious.com/images/necklaces/tig35.jpg	$1.00 	5	y	$12.00 
"Tiger eye necklace, square beads, 18"""	"Tiger eye necklace, square beads, 18""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$25.00 	52	http://www.semiprecious.com/images/necklaces/tigersqr.jpg	$1.00 	2	y	$37.50 
"Unakite necklace with golden rings, 24"""	"Unakite necklace with golden rings, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$16.00 	151	http://www.semiprecious.com/images/necklaces/151.jpg	$1.00 	5	y	$24.00 
"Agate necklace with ethnic metal pieces, 20"""	"Agate necklace with ethnic metal pieces, 20""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$14.00 	167	http://www.semiprecious.com/images/necklaces/167.jpg	$1.00 	10	y	$21.00 
"Agate necklace with ethnic metal pieces, 24"""	"Agate necklace with ethnic metal pieces, 24""  Some necklaces are more greyish, others are more pink   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$13.00 	168	http://www.semiprecious.com/images/necklaces/168.jpg	$1.00 	10	y	$19.50 
"Agate necklace with ethnic metal pieces, 25"""	"Agate necklace with ethnic metal pieces, 25""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$17.00 	150	http://www.semiprecious.com/images/necklaces/150.jpg	$1.00 	10	y	$25.50 
"Amethyst (dark) and bone necklace, ethnic elephant engraving, 18"""	"Amethyst (dark) and bone necklace, ethnic elephant engraving, 18""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$15.00 	93	http://www.semiprecious.com/images/necklaces/93.jpg	$1.00 	3	y	$22.50 
"Amethyst (dark) necklace with golden rings, 24"""	"Amethyst (dark) necklace with golden rings, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296347	$16.00 	169	http://www.semiprecious.com/images/necklaces/169.jpg	$1.00 	10	y	$24.00 
"Amethyst (dark) necklace,  7mm beads, 18"""	"Amethyst (dark) necklace,  7mm beads, 18""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296347	$13.00 	94	http://www.semiprecious.com/images/necklaces/94.jpg	$1.00 	5	y	$19.50 
"Amethyst (light) and bone necklace, flower design, 18"""	"Amethyst (light) and bone necklace, flower design, 18""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$15.00 	92	http://www.semiprecious.com/images/necklaces/92.jpg	$1.00 	6	y	$22.50 
