Item-name	Item-Description	category1	price	sku	image-url	Shipping-fee	quantity
Jasper and bone bracelet	"Jasper and bone bracelet, elephant carving, 7 to 7.5""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296305	$6.00 	88	http://www.semiprecious.com/images/bracelets/jasprbrac.jpg	$1.50 	10
"Lapis and carnelian necklace, with metal pieces, ethnic design, 24"""	"Lapis and carnelian necklace, with metal pieces, ethnic design, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$14.00 	173	http://www.semiprecious.com/images/necklaces/173.jpg	$2.50 	10
"Lapis necklace with ethnic metal pieces , 24"""	"Lapis necklace with ethnic metal pieces , 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$16.00 	9	http://www.semiprecious.com/images/necklaces/lapis11old.jpg	$2.50 	3
"Lapis necklace with ethnic metal pieces, 24"" (with earrings)"	"Lapis necklace with ethnic metal pieces, 24"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$18.00 	9.1	http://www.semiprecious.com/images/necklaces/lapis11.jpg	$2.50 	3
"Lapis necklace with golden rings, 24"""	"Lapis necklace with golden rings, 24""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$25.00 	163	http://www.semiprecious.com/images/necklaces/163.jpg	$2.50 	10
"Lapis necklace, 3 layered, 17"", ethnic style"	"Lapis necklace, 3 layered, 17"", ethnic style   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$22.00 	171	http://www.semiprecious.com/images/necklaces/171.jpg	$2.50 	5
"Lapis necklace, large cylindrical stone pieces, 18"""	"Lapis necklace, large cylindrical stone pieces, 18""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$14.00 	2	http://www.semiprecious.com/images/necklaces/lapis1.jpg	$2.50 	5
"Lapis necklace, large cylindrical stone pieces, 24"""	"Lapis necklace, large cylindrical stone pieces, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296363	$20.00 	7	http://www.semiprecious.com/images/necklaces/lapis9.jpg	$2.50 	2
"Malachite (simulated) necklace and ethnic balls, 17"""	"Malachite (simulated) necklace and ethnic balls, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$13.00 	57	http://www.semiprecious.com/images/necklaces/malethn.jpg	$1.50 	2
"Malachite (simulated) necklace, button shaped, 16"""	"Malachite (simulated) necklace, button shaped, 16""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$8.00 	40	http://www.semiprecious.com/images/necklaces/mal49.jpg	$1.50 	4
"Malachite necklace, cylindrical, with golden rings, 24"""	"Malachite necklace, cylindrical, with golden rings, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296366	$18.00 	43	http://www.semiprecious.com/images/necklaces/malring.jpg	$2.50 	4
